"spec_id","scope","feature_set","features","weighting","distance","method","k","matched","total","ari","balanced_accuracy","orientation_tied","size_1","size_2","silhouette","objective","starts","iterations","tied_best_partitions","converged"
"full__equal_domains__hamming__average","core","full",155,"equal_domains","hamming","average",2,104,138,0.252413533231221,0.741833508956797,FALSE,99,39,0.369989056137851,,1,,1,TRUE
"full__equal_domains__jaccard__pam","core","full",155,"equal_domains","jaccard","pam",2,117,138,0.480202261250161,0.84436248682824,FALSE,80,58,0.185342152617763,0.546847462296074,1,,1,TRUE
"full__equal_domains__jaccard__average","core","full",155,"equal_domains","jaccard","average",2,73,138,-0.000224420335363643,0.500842992623814,FALSE,136,2,0.158964998411967,,1,,1,TRUE
"full__unique_profiles__sqrt_hamming__pam","core","full",155,"unique_profiles","sqrt_hamming","pam",2,129,138,0.754373152541918,0.93245521601686,FALSE,78,60,0.137012087216416,0.378584456500358,1,,1,TRUE
"full__unique_profiles__sqrt_hamming__average","core","full",155,"unique_profiles","sqrt_hamming","average",2,136,138,0.942452203083014,0.984615384615385,FALSE,75,63,0.135640898330398,,1,,1,TRUE
"full__unique_profiles__sqrt_hamming__energy","core","full",155,"unique_profiles","sqrt_hamming","energy",2,125,138,0.656232090438534,0.901685985247629,FALSE,82,56,0.144241241378223,28.639534665197,100,3,1,TRUE
"full__unique_profiles__hamming__pam","core","full",155,"unique_profiles","hamming","pam",2,129,138,0.754373152541918,0.93245521601686,FALSE,78,60,0.239645712888799,0.149218154080854,1,,1,TRUE
"full__unique_profiles__hamming__average","core","full",155,"unique_profiles","hamming","average",2,136,138,0.942452203083014,0.984615384615385,FALSE,75,63,0.236353473849717,,1,,1,TRUE
"full__unique_profiles__jaccard__pam","core","full",155,"unique_profiles","jaccard","pam",2,125,138,0.656184262785802,0.907586933614331,FALSE,68,70,0.166783399981466,0.552411905219755,1,,1,TRUE
"full__unique_profiles__jaccard__average","core","full",155,"unique_profiles","jaccard","average",2,75,138,0.00399148870714579,0.515384615384615,FALSE,136,2,0.160412601486208,,1,,1,TRUE
"full__idf_presence__jaccard__pam","core","full",155,"idf_presence","jaccard","pam",2,120,138,0.543002789188638,0.873340358271865,FALSE,63,75,0.112688081499993,0.695107336387165,1,,1,TRUE
"full__idf_presence__jaccard__average","core","full",155,"idf_presence","jaccard","average",2,75,138,0.00399148870714579,0.515384615384615,FALSE,136,2,0.0884994102456087,,1,,1,TRUE
"no_components__equal_features__sqrt_hamming__pam","core","no_components",105,"equal_features","sqrt_hamming","pam",2,111,138,0.366128962429392,0.796522655426765,FALSE,90,48,0.141245159266692,0.433333877285963,1,,1,TRUE
"no_components__equal_features__sqrt_hamming__average","core","no_components",105,"equal_features","sqrt_hamming","average",2,129,138,0.754356879442656,0.936670179135933,FALSE,68,70,0.146097898595837,,1,,1,TRUE
"no_components__equal_features__sqrt_hamming__energy","core","no_components",105,"equal_features","sqrt_hamming","energy",2,131,138,0.805989846809123,0.947839831401475,FALSE,76,62,0.151396752731297,32.832529267739,100,5,1,TRUE
"no_components__equal_features__hamming__pam","core","no_components",105,"equal_features","hamming","pam",2,115,138,0.440477562729972,0.82813487881981,FALSE,84,54,0.242678056969098,0.195583160800552,1,,1,TRUE
"no_components__equal_features__hamming__average","core","no_components",105,"equal_features","hamming","average",2,129,138,0.754356879442656,0.936670179135933,FALSE,68,70,0.252284314368307,,1,,1,TRUE
"no_components__equal_features__jaccard__pam","core","no_components",105,"equal_features","jaccard","pam",2,125,138,0.656186540594849,0.905900948366702,FALSE,72,66,0.171635550400608,0.535147102068741,1,,1,TRUE
"no_components__equal_features__jaccard__average","core","no_components",105,"equal_features","jaccard","average",2,75,138,0.00399148870714579,0.515384615384615,FALSE,136,2,0.17182237539191,,1,,1,TRUE
"no_components__equal_domains__sqrt_hamming__pam","core","no_components",105,"equal_domains","sqrt_hamming","pam",2,113,138,0.402507280234578,0.811064278187566,FALSE,90,48,0.21041350437573,0.412331301659958,1,,1,TRUE
"no_components__equal_domains__sqrt_hamming__average","core","no_components",105,"equal_domains","sqrt_hamming","average",2,109,138,0.331544480220811,0.780295047418335,FALSE,94,44,0.203975477280516,,1,,1,TRUE
"no_components__equal_domains__sqrt_hamming__energy","core","no_components",105,"equal_domains","sqrt_hamming","energy",2,117,138,0.480274562291262,0.841833508956797,FALSE,86,52,0.214039373505924,31.8383089085947,100,3,1,TRUE
"no_components__equal_domains__hamming__pam","core","no_components",105,"equal_domains","hamming","pam",2,117,138,0.480274562291262,0.841833508956797,FALSE,86,52,0.359949970229896,0.179343800322061,1,,1,TRUE
"no_components__equal_domains__hamming__average","core","no_components",105,"equal_domains","hamming","average",2,115,138,0.440540561404208,0.826448893572181,FALSE,88,50,0.351214456115539,,1,,1,TRUE
"no_components__equal_domains__jaccard__pam","core","no_components",105,"equal_domains","jaccard","pam",2,123,138,0.609652418061975,0.889673340358272,FALSE,76,62,0.220020667988305,0.53617572060766,1,,1,TRUE
"no_components__equal_domains__jaccard__average","core","no_components",105,"equal_domains","jaccard","average",2,123,138,0.609644659905124,0.890516332982086,FALSE,74,64,0.220254073723858,,1,,1,TRUE
"no_components__unique_profiles__sqrt_hamming__pam","core","no_components",105,"unique_profiles","sqrt_hamming","pam",2,111,138,0.366128962429392,0.796522655426765,FALSE,90,48,0.142051495916459,0.434743378369012,1,,1,TRUE
"no_components__unique_profiles__sqrt_hamming__average","core","no_components",105,"unique_profiles","sqrt_hamming","average",2,129,138,0.754356879442656,0.936670179135933,FALSE,68,70,0.146435885171138,,1,,1,TRUE
"no_components__unique_profiles__sqrt_hamming__energy","core","no_components",105,"unique_profiles","sqrt_hamming","energy",2,131,138,0.805989846809123,0.947839831401475,FALSE,76,62,0.151987945665308,32.9083593520911,100,5,1,TRUE
"no_components__unique_profiles__hamming__pam","core","no_components",105,"unique_profiles","hamming","pam",2,115,138,0.440477562729972,0.82813487881981,FALSE,84,54,0.243917725980455,0.196767001114827,1,,1,TRUE
"no_components__unique_profiles__hamming__average","core","no_components",105,"unique_profiles","hamming","average",2,129,138,0.754356879442656,0.936670179135933,FALSE,68,70,0.252803481710654,,1,,1,TRUE
"no_components__unique_profiles__jaccard__pam","core","no_components",105,"unique_profiles","jaccard","pam",2,125,138,0.656186540594849,0.905900948366702,FALSE,72,66,0.172198785181198,0.534200883415826,1,,1,TRUE
"no_components__unique_profiles__jaccard__average","core","no_components",105,"unique_profiles","jaccard","average",2,75,138,0.00399148870714579,0.515384615384615,FALSE,136,2,0.172480221658746,,1,,1,TRUE
"no_components__idf_presence__jaccard__pam","core","no_components",105,"idf_presence","jaccard","pam",2,123,138,0.60963690143988,0.892202318229715,FALSE,70,68,0.136760093202817,0.655177728624765,1,,1,TRUE
"no_components__idf_presence__jaccard__average","core","no_components",105,"idf_presence","jaccard","average",2,75,138,0.00399148870714579,0.515384615384615,FALSE,136,2,0.108313053021759,,1,,1,TRUE
"no_four_labels__equal_features__sqrt_hamming__pam","core","no_four_labels",151,"equal_features","sqrt_hamming","pam",2,120,138,0.543086032429433,0.864067439409905,FALSE,85,53,0.122132777717519,0.373723785018421,1,,1,TRUE
"no_four_labels__equal_features__sqrt_hamming__average","core","no_four_labels",151,"equal_features","sqrt_hamming","average",2,108,138,0.314710753742723,0.775131717597471,FALSE,89,49,0.13361165997318,,1,,1,TRUE
"no_four_labels__equal_features__sqrt_hamming__energy","core","no_four_labels",151,"equal_features","sqrt_hamming","energy",2,124,138,0.632758308161156,0.893993677555321,FALSE,83,55,0.139165551275796,28.3320009725847,100,3,1,TRUE
"no_four_labels__equal_features__hamming__pam","core","no_four_labels",151,"equal_features","hamming","pam",2,123,138,0.60970930179085,0.886301369863014,FALSE,84,54,0.217249056859308,0.145359439485555,1,,1,TRUE
"no_four_labels__equal_features__hamming__average","core","no_four_labels",151,"equal_features","hamming","average",2,129,138,0.754356879442656,0.936670179135933,FALSE,68,70,0.223848371246893,,1,,1,TRUE
"no_four_labels__equal_features__jaccard__pam","core","no_four_labels",151,"equal_features","jaccard","pam",2,123,138,0.60963690143988,0.892202318229715,FALSE,70,68,0.155579145060568,0.557598056275134,1,,1,TRUE
"no_four_labels__equal_features__jaccard__average","core","no_four_labels",151,"equal_features","jaccard","average",2,75,138,0.00399148870714579,0.515384615384615,FALSE,136,2,0.159196883527444,,1,,1,TRUE
"no_four_labels__equal_domains__sqrt_hamming__pam","core","no_four_labels",151,"equal_domains","sqrt_hamming","pam",2,107,138,0.2985552169859,0.765753424657534,FALSE,94,44,0.206211872094898,0.366343637860658,1,,1,TRUE
"no_four_labels__equal_domains__sqrt_hamming__average","core","no_four_labels",151,"equal_domains","sqrt_hamming","average",2,104,138,0.252413533231221,0.741833508956797,FALSE,99,39,0.219179260079506,,1,,1,TRUE
"no_four_labels__equal_domains__sqrt_hamming__energy","core","no_four_labels",151,"equal_domains","sqrt_hamming","energy",2,103,138,0.237788234678377,0.734984193888303,FALSE,98,40,0.220647050600311,28.425944034337,100,4,1,TRUE
"no_four_labels__equal_domains__hamming__pam","core","no_four_labels",151,"equal_domains","hamming","pam",2,107,138,0.2985552169859,0.765753424657534,FALSE,94,44,0.352108499495137,0.140978945090476,1,,1,TRUE
"no_four_labels__equal_domains__hamming__average","core","no_four_labels",151,"equal_domains","hamming","average",2,102,138,0.223739862067041,0.726448893572181,FALSE,101,37,0.361838023751998,,1,,1,TRUE
"no_four_labels__equal_domains__jaccard__pam","core","no_four_labels",151,"equal_domains","jaccard","pam",2,117,138,0.480202261250161,0.84436248682824,FALSE,80,58,0.17997380831235,0.550545746964359,1,,1,TRUE
"no_four_labels__equal_domains__jaccard__average","core","no_four_labels",151,"equal_domains","jaccard","average",2,73,138,-0.000224420335363643,0.500842992623814,FALSE,136,2,0.160230593980253,,1,,1,TRUE
"no_four_labels__unique_profiles__sqrt_hamming__pam","core","no_four_labels",151,"unique_profiles","sqrt_hamming","pam",2,120,138,0.543086032429433,0.864067439409905,FALSE,85,53,0.123346104895566,0.376413559087102,1,,1,TRUE
"no_four_labels__unique_profiles__sqrt_hamming__average","core","no_four_labels",151,"unique_profiles","sqrt_hamming","average",2,108,138,0.314710753742723,0.775131717597471,FALSE,89,49,0.13494919491988,,1,,1,TRUE
"no_four_labels__unique_profiles__sqrt_hamming__energy","core","no_four_labels",151,"unique_profiles","sqrt_hamming","energy",2,124,138,0.632758308161156,0.893993677555321,FALSE,83,55,0.140402437057858,28.5021155109614,100,3,1,TRUE
"no_four_labels__unique_profiles__hamming__pam","core","no_four_labels",151,"unique_profiles","hamming","pam",2,123,138,0.60970930179085,0.886301369863014,FALSE,84,54,0.219250208490583,0.147522522522522,1,,1,TRUE
"no_four_labels__unique_profiles__hamming__average","core","no_four_labels",151,"unique_profiles","hamming","average",2,108,138,0.314710753742723,0.775131717597471,FALSE,89,49,0.235283009618978,,1,,1,TRUE
"no_four_labels__unique_profiles__jaccard__pam","core","no_four_labels",151,"unique_profiles","jaccard","pam",2,123,138,0.60963690143988,0.892202318229715,FALSE,70,68,0.156348245995611,0.556286086703093,1,,1,TRUE
"no_four_labels__unique_profiles__jaccard__average","core","no_four_labels",151,"unique_profiles","jaccard","average",2,75,138,0.00399148870714579,0.515384615384615,FALSE,136,2,0.160226215045308,,1,,1,TRUE
"no_four_labels__idf_presence__jaccard__pam","core","no_four_labels",151,"idf_presence","jaccard","pam",2,122,138,0.587003087809643,0.887038988408851,FALSE,65,73,0.108362316216241,0.703256653474976,1,,1,TRUE
"no_four_labels__idf_presence__jaccard__average","core","no_four_labels",151,"idf_presence","jaccard","average",2,75,138,0.00399148870714579,0.515384615384615,FALSE,136,2,0.085941700864319,,1,,1,TRUE
"no_components_or_four_labels__equal_features__sqrt_hamming__pam","core","no_components_or_four_labels",101,"equal_features","sqrt_hamming","pam",2,109,138,0.331491360187137,0.78113804004215,FALSE,92,46,0.139105416212266,0.432200865303575,1,,1,TRUE
"no_components_or_four_labels__equal_features__sqrt_hamming__average","core","no_components_or_four_labels",101,"equal_features","sqrt_hamming","average",2,129,138,0.754356879442656,0.936670179135933,FALSE,68,70,0.13826667413283,,1,,1,TRUE
"no_components_or_four_labels__equal_features__sqrt_hamming__energy","core","no_components_or_four_labels",101,"equal_features","sqrt_hamming","energy",2,124,138,0.632758308161156,0.893993677555321,FALSE,83,55,0.148886643586579,32.8221210408639,100,3,1,TRUE
"no_components_or_four_labels__equal_features__hamming__pam","core","no_components_or_four_labels",101,"equal_features","hamming","pam",2,109,138,0.331491360187137,0.78113804004215,FALSE,92,46,0.240850805704564,0.194647725642129,1,,1,TRUE
"no_components_or_four_labels__equal_features__hamming__average","core","no_components_or_four_labels",101,"equal_features","hamming","average",2,129,138,0.754356879442656,0.936670179135933,FALSE,68,70,0.238987731359069,,1,,1,TRUE
"no_components_or_four_labels__equal_features__jaccard__pam","core","no_components_or_four_labels",101,"equal_features","jaccard","pam",2,122,138,0.586997615488207,0.885353003161222,FALSE,69,69,0.162794931788236,0.538719456783193,1,,1,TRUE
"no_components_or_four_labels__equal_features__jaccard__average","core","no_components_or_four_labels",101,"equal_features","jaccard","average",2,75,138,0.00399148870714579,0.515384615384615,FALSE,136,2,0.17229864609638,,1,,1,TRUE
"no_components_or_four_labels__equal_domains__sqrt_hamming__pam","core","no_components_or_four_labels",101,"equal_domains","sqrt_hamming","pam",2,117,138,0.480274562291262,0.841833508956797,FALSE,86,52,0.213291334620797,0.410842307775451,1,,1,TRUE
"no_components_or_four_labels__equal_domains__sqrt_hamming__average","core","no_components_or_four_labels",101,"equal_domains","sqrt_hamming","average",2,109,138,0.331544480220811,0.780295047418335,FALSE,94,44,0.204277439079404,,1,,1,TRUE
"no_components_or_four_labels__equal_domains__sqrt_hamming__energy","core","no_components_or_four_labels",101,"equal_domains","sqrt_hamming","energy",2,117,138,0.480274562291262,0.841833508956797,FALSE,86,52,0.213291334620797,31.7821352909329,100,3,1,TRUE
"no_components_or_four_labels__equal_domains__hamming__pam","core","no_components_or_four_labels",101,"equal_domains","hamming","pam",2,117,138,0.480274562291262,0.841833508956797,FALSE,86,52,0.358924691014689,0.177685010151929,1,,1,TRUE
"no_components_or_four_labels__equal_domains__hamming__average","core","no_components_or_four_labels",101,"equal_domains","hamming","average",2,109,138,0.331544480220811,0.780295047418335,FALSE,94,44,0.342038744183264,,1,,1,TRUE
"no_components_or_four_labels__equal_domains__jaccard__pam","core","no_components_or_four_labels",101,"equal_domains","jaccard","pam",2,122,138,0.587009928007509,0.882824025289779,FALSE,75,63,0.213584469304243,0.539809568170662,1,,1,TRUE
"no_components_or_four_labels__equal_domains__jaccard__average","core","no_components_or_four_labels",101,"equal_domains","jaccard","average",2,123,138,0.609644659905124,0.890516332982086,FALSE,74,64,0.21441036341866,,1,,1,TRUE
"no_components_or_four_labels__unique_profiles__sqrt_hamming__pam","core","no_components_or_four_labels",101,"unique_profiles","sqrt_hamming","pam",2,109,138,0.331491360187137,0.78113804004215,FALSE,92,46,0.13995969327744,0.433651866561273,1,,1,TRUE
"no_components_or_four_labels__unique_profiles__sqrt_hamming__average","core","no_components_or_four_labels",101,"unique_profiles","sqrt_hamming","average",2,129,138,0.754356879442656,0.936670179135933,FALSE,68,70,0.138567301867068,,1,,1,TRUE
"no_components_or_four_labels__unique_profiles__sqrt_hamming__energy","core","no_components_or_four_labels",101,"unique_profiles","sqrt_hamming","energy",2,124,138,0.632758308161156,0.893993677555321,FALSE,83,55,0.149632194795179,32.9000068014215,100,3,1,TRUE
"no_components_or_four_labels__unique_profiles__hamming__pam","core","no_components_or_four_labels",101,"unique_profiles","hamming","pam",2,109,138,0.331491360187137,0.78113804004215,FALSE,92,46,0.242410247920485,0.195869565217391,1,,1,TRUE
"no_components_or_four_labels__unique_profiles__hamming__average","core","no_components_or_four_labels",101,"unique_profiles","hamming","average",2,129,138,0.754356879442656,0.936670179135933,FALSE,68,70,0.239430595893941,,1,,1,TRUE
"no_components_or_four_labels__unique_profiles__jaccard__pam","core","no_components_or_four_labels",101,"unique_profiles","jaccard","pam",2,122,138,0.586997615488207,0.885353003161222,FALSE,69,69,0.163224698212299,0.537758517196925,1,,1,TRUE
"no_components_or_four_labels__unique_profiles__jaccard__average","core","no_components_or_four_labels",101,"unique_profiles","jaccard","average",2,75,138,0.00399148870714579,0.515384615384615,FALSE,136,2,0.17297789561686,,1,,1,TRUE
"no_components_or_four_labels__idf_presence__jaccard__pam","core","no_components_or_four_labels",101,"idf_presence","jaccard","pam",2,120,138,0.542990678554031,0.871654373024236,FALSE,67,71,0.12854519517768,0.66312428234699,1,,1,TRUE
"no_components_or_four_labels__idf_presence__jaccard__average","core","no_components_or_four_labels",101,"idf_presence","jaccard","average",2,75,138,0.00399148870714579,0.515384615384615,FALSE,136,2,0.106483205557692,,1,,1,TRUE
"no_morph__equal_features__sqrt_hamming__pam","core","no_morph",89,"equal_features","sqrt_hamming","pam",2,96,138,0.147466626058864,0.684510010537408,FALSE,97,41,0.0945459799359722,0.420215425128006,1,,1,TRUE
"no_morph__equal_features__sqrt_hamming__average","core","no_morph",89,"equal_features","sqrt_hamming","average",2,129,138,0.754356879442656,0.936670179135933,FALSE,68,70,0.129413663612816,,1,,1,TRUE
"no_morph__equal_features__sqrt_hamming__energy","core","no_morph",89,"equal_features","sqrt_hamming","energy",2,126,138,0.680109369827184,0.917808219178082,FALSE,61,77,0.13276680357831,32.4191247210788,100,4,1,TRUE
"no_morph__equal_features__hamming__pam","core","no_morph",89,"equal_features","hamming","pam",2,111,138,0.36596099998646,0.800737618545838,FALSE,80,58,0.175218707643617,0.183846279107637,1,,1,TRUE
"no_morph__equal_features__hamming__average","core","no_morph",89,"equal_features","hamming","average",2,128,138,0.729178764254562,0.928977871443625,FALSE,69,69,0.218507615925476,,1,,1,TRUE
"no_morph__equal_features__jaccard__pam","core","no_morph",89,"equal_features","jaccard","pam",2,121,138,0.564790821368477,0.880189673340358,FALSE,64,74,0.153964380966916,0.528942829079127,1,,1,TRUE
"no_morph__equal_features__jaccard__average","core","no_morph",89,"equal_features","jaccard","average",2,74,138,0.00178392512401945,0.507692307692308,FALSE,137,1,0.271110015708618,,1,,1,TRUE
"no_morph__equal_domains__sqrt_hamming__pam","core","no_morph",89,"equal_domains","sqrt_hamming","pam",2,103,138,0.237788234678377,0.734984193888303,FALSE,98,40,0.24024110969945,0.378463416666499,1,,1,TRUE
"no_morph__equal_domains__sqrt_hamming__average","core","no_morph",89,"equal_domains","sqrt_hamming","average",2,104,138,0.252413533231221,0.741833508956797,FALSE,99,39,0.237901181723079,,1,,1,TRUE
"no_morph__equal_domains__sqrt_hamming__energy","core","no_morph",89,"equal_domains","sqrt_hamming","energy",2,103,138,0.237788234678377,0.734984193888303,FALSE,98,40,0.24024110969945,29.9995525325585,100,3,1,TRUE
"no_morph__equal_domains__hamming__pam","core","no_morph",89,"equal_domains","hamming","pam",2,103,138,0.237788234678377,0.734984193888303,FALSE,98,40,0.402402126747916,0.151583467525497,1,,1,TRUE
"no_morph__equal_domains__hamming__average","core","no_morph",89,"equal_domains","hamming","average",2,104,138,0.252413533231221,0.741833508956797,FALSE,99,39,0.39737451254992,,1,,1,TRUE
"no_morph__equal_domains__jaccard__pam","core","no_morph",89,"equal_domains","jaccard","pam",2,116,138,0.460094873043811,0.837513171759747,FALSE,79,59,0.188338349579454,0.530704055527012,1,,1,TRUE
"no_morph__equal_domains__jaccard__average","core","no_morph",89,"equal_domains","jaccard","average",2,70,138,-0.00412286766922999,0.481981032665964,FALSE,129,9,0.162089369466647,,1,,1,TRUE
"no_morph__idf_presence__jaccard__pam","core","no_morph",89,"idf_presence","jaccard","pam",2,118,138,0.500699810047722,0.859641728134879,FALSE,61,77,0.117738754675239,0.658940104930934,1,,1,TRUE
"no_morph__idf_presence__jaccard__average","core","no_morph",89,"idf_presence","jaccard","average",2,75,138,0.00399148870714579,0.515384615384615,FALSE,136,2,0.120450404032325,,1,,1,TRUE
"no_phon__equal_features__sqrt_hamming__pam","core","no_phon",152,"equal_features","sqrt_hamming","pam",2,129,138,0.754373152541918,0.93245521601686,FALSE,78,60,0.134199731381801,0.375396197777775,1,,1,TRUE
"no_phon__equal_features__sqrt_hamming__average","core","no_phon",152,"equal_features","sqrt_hamming","average",2,136,138,0.942452203083014,0.984615384615385,FALSE,75,63,0.134088403155497,,1,,1,TRUE
"no_phon__equal_features__sqrt_hamming__energy","core","no_phon",152,"equal_features","sqrt_hamming","energy",2,124,138,0.632742495376833,0.894836670179136,FALSE,81,57,0.142950406110232,28.4043096373356,100,4,1,TRUE
"no_phon__equal_features__hamming__pam","core","no_phon",152,"equal_features","hamming","pam",2,129,138,0.754373152541918,0.93245521601686,FALSE,78,60,0.23477469453878,0.146834477498093,1,,1,TRUE
"no_phon__equal_features__hamming__average","core","no_phon",152,"equal_features","hamming","average",2,136,138,0.942452203083014,0.984615384615385,FALSE,75,63,0.233736879421032,,1,,1,TRUE
"no_phon__equal_features__jaccard__pam","core","no_phon",152,"equal_features","jaccard","pam",2,127,138,0.704424255453394,0.921285563751317,FALSE,70,68,0.16555024130725,0.552527264236784,1,,1,TRUE
"no_phon__equal_features__jaccard__average","core","no_phon",152,"equal_features","jaccard","average",2,75,138,0.00399148870714579,0.515384615384615,FALSE,136,2,0.161640215060574,,1,,1,TRUE
"no_phon__equal_domains__sqrt_hamming__pam","core","no_phon",152,"equal_domains","sqrt_hamming","pam",2,114,138,0.421167544141014,0.822971548998946,FALSE,79,59,0.121799260712098,0.388558793701153,1,,1,TRUE
"no_phon__equal_domains__sqrt_hamming__average","core","no_phon",152,"equal_domains","sqrt_hamming","average",2,129,138,0.754356879442656,0.936670179135933,FALSE,68,70,0.135522330184426,,1,,1,TRUE
"no_phon__equal_domains__sqrt_hamming__energy","core","no_phon",152,"equal_domains","sqrt_hamming","energy",2,130,138,0.77996430590564,0.940990516332982,FALSE,75,63,0.139169367410515,29.3357720633233,100,5,1,TRUE
"no_phon__equal_domains__hamming__pam","core","no_phon",152,"equal_domains","hamming","pam",2,114,138,0.421167544141014,0.822971548998946,FALSE,79,59,0.212921313824858,0.156828673205485,1,,1,TRUE
"no_phon__equal_domains__hamming__average","core","no_phon",152,"equal_domains","hamming","average",2,129,138,0.754356879442656,0.936670179135933,FALSE,68,70,0.236406807225707,,1,,1,TRUE
"no_phon__equal_domains__jaccard__pam","core","no_phon",152,"equal_domains","jaccard","pam",2,126,138,0.680093474987822,0.915279241306639,FALSE,67,71,0.16355233600796,0.540219881022073,1,,1,TRUE
"no_phon__equal_domains__jaccard__average","core","no_phon",152,"equal_domains","jaccard","average",2,75,138,0.00399148870714579,0.515384615384615,FALSE,136,2,0.17894766694114,,1,,1,TRUE
"no_phon__unique_profiles__sqrt_hamming__pam","core","no_phon",152,"unique_profiles","sqrt_hamming","pam",2,129,138,0.754373152541918,0.93245521601686,FALSE,78,60,0.135208625657164,0.378103783459314,1,,1,TRUE
"no_phon__unique_profiles__sqrt_hamming__average","core","no_phon",152,"unique_profiles","sqrt_hamming","average",2,136,138,0.942452203083014,0.984615384615385,FALSE,75,63,0.134984916638177,,1,,1,TRUE
"no_phon__unique_profiles__sqrt_hamming__energy","core","no_phon",152,"unique_profiles","sqrt_hamming","energy",2,124,138,0.632742495376833,0.894836670179136,FALSE,81,57,0.144113426768151,28.5759270890875,100,3,1,TRUE
"no_phon__unique_profiles__hamming__pam","core","no_phon",152,"unique_profiles","hamming","pam",2,129,138,0.754373152541918,0.93245521601686,FALSE,78,60,0.236473816214466,0.149012741951172,1,,1,TRUE
"no_phon__unique_profiles__hamming__average","core","no_phon",152,"unique_profiles","hamming","average",2,136,138,0.942452203083014,0.984615384615385,FALSE,75,63,0.235223769451484,,1,,1,TRUE
"no_phon__unique_profiles__jaccard__pam","core","no_phon",152,"unique_profiles","jaccard","pam",2,127,138,0.704424255453394,0.921285563751317,FALSE,70,68,0.166395869516134,0.551239651371249,1,,1,TRUE
"no_phon__unique_profiles__jaccard__average","core","no_phon",152,"unique_profiles","jaccard","average",2,75,138,0.00399148870714579,0.515384615384615,FALSE,136,2,0.162666023524306,,1,,1,TRUE
"no_phon__idf_presence__jaccard__pam","core","no_phon",152,"idf_presence","jaccard","pam",2,122,138,0.587003087809643,0.887038988408851,FALSE,65,73,0.111258019563946,0.695250128019184,1,,1,TRUE
"no_phon__idf_presence__jaccard__average","core","no_phon",152,"idf_presence","jaccard","average",2,75,138,0.00399148870714579,0.515384615384615,FALSE,136,2,0.0904596379215281,,1,,1,TRUE
"no_sem__equal_features__sqrt_hamming__pam","core","no_sem",119,"equal_features","sqrt_hamming","pam",2,111,138,0.36608698016197,0.79736564805058,FALSE,88,50,0.129696337538978,0.356506150733965,1,,1,TRUE
"no_sem__equal_features__sqrt_hamming__average","core","no_sem",119,"equal_features","sqrt_hamming","average",2,90,138,0.0880205213337796,0.630769230769231,FALSE,121,17,0.15059395845132,,1,,1,TRUE
"no_sem__equal_features__sqrt_hamming__energy","core","no_sem",119,"equal_features","sqrt_hamming","energy",2,124,138,0.632758308161156,0.893993677555321,FALSE,83,55,0.144190033516691,27.3259237083369,100,3,1,TRUE
"no_sem__equal_features__hamming__pam","core","no_sem",119,"equal_features","hamming","pam",2,111,138,0.36608698016197,0.79736564805058,FALSE,88,50,0.224496125701832,0.133479478748021,1,,1,TRUE
"no_sem__equal_features__hamming__average","core","no_sem",119,"equal_features","hamming","average",2,90,138,0.0880205213337796,0.630769230769231,FALSE,121,17,0.254640226755202,,1,,1,TRUE
