comparison,before_spec,after_spec,method_before,method_after,matched_before,matched_after,change_in_matched,ari_before,ari_after,change_in_ari,between_partition_ari,minimum_changed_forms
full_to_no_components,full__unique_profiles__jaccard__average,no_components__unique_profiles__jaccard__average,average,average,75,75,0,0.00399148870714579,0.00399148870714579,0.0,1.0,0
full_to_no_components,full__idf_presence__jaccard__pam,no_components__idf_presence__jaccard__pam,pam,pam,120,123,3,0.543002789188638,0.60963690143988,0.06663411225124205,0.8059879535910096,7
full_to_no_components,full__idf_presence__jaccard__average,no_components__idf_presence__jaccard__average,average,average,75,75,0,0.00399148870714579,0.00399148870714579,0.0,1.0,0
full_to_no_four_labels,full__equal_features__sqrt_hamming__pam,no_four_labels__equal_features__sqrt_hamming__pam,pam,pam,129,120,-9,0.754373152541918,0.543086032429433,-0.21128712011248496,0.7042961212413935,11
full_to_no_four_labels,full__equal_features__sqrt_hamming__average,no_four_labels__equal_features__sqrt_hamming__average,average,average,136,108,-28,0.942452203083014,0.314710753742723,-0.6277414493402911,0.3483390268985706,28
full_to_no_four_labels,full__equal_features__sqrt_hamming__energy,no_four_labels__equal_features__sqrt_hamming__energy,energy,energy,125,124,-1,0.656232090438534,0.632758308161156,-0.023473782277378064,0.970986281727947,1
full_to_no_four_labels,full__equal_features__hamming__pam,no_four_labels__equal_features__hamming__pam,pam,pam,129,123,-6,0.754373152541918,0.60970930179085,-0.1446638507510679,0.7798767486049851,8
full_to_no_four_labels,full__equal_features__hamming__average,no_four_labels__equal_features__hamming__average,average,average,136,129,-7,0.942452203083014,0.754356879442656,-0.18809532364035808,0.8059879535910096,7
full_to_no_four_labels,full__equal_features__jaccard__pam,no_four_labels__equal_features__jaccard__pam,pam,pam,125,123,-2,0.656184262785802,0.60963690143988,-0.04654736134592197,0.9424492405101823,2
full_to_no_four_labels,full__equal_features__jaccard__average,no_four_labels__equal_features__jaccard__average,average,average,75,75,0,0.00399148870714579,0.00399148870714579,0.0,1.0,0
full_to_no_four_labels,full__equal_domains__sqrt_hamming__pam,no_four_labels__equal_domains__sqrt_hamming__pam,pam,pam,107,107,0,0.2985552169859,0.2985552169859,0.0,1.0,0
full_to_no_four_labels,full__equal_domains__sqrt_hamming__average,no_four_labels__equal_domains__sqrt_hamming__average,average,average,104,104,0,0.252413533231221,0.252413533231221,0.0,1.0,0
full_to_no_four_labels,full__equal_domains__sqrt_hamming__energy,no_four_labels__equal_domains__sqrt_hamming__energy,energy,energy,103,103,0,0.237788234678377,0.237788234678377,0.0,1.0,0
full_to_no_four_labels,full__equal_domains__hamming__pam,no_four_labels__equal_domains__hamming__pam,pam,pam,107,107,0,0.2985552169859,0.2985552169859,0.0,1.0,0
full_to_no_four_labels,full__equal_domains__hamming__average,no_four_labels__equal_domains__hamming__average,average,average,104,102,-2,0.252413533231221,0.223739862067041,-0.028673671164180015,0.9401580476824188,2
full_to_no_four_labels,full__equal_domains__jaccard__pam,no_four_labels__equal_domains__jaccard__pam,pam,pam,117,117,0,0.480202261250161,0.480202261250161,0.0,1.0,0
full_to_no_four_labels,full__equal_domains__jaccard__average,no_four_labels__equal_domains__jaccard__average,average,average,73,73,0,-0.000224420335363643,-0.000224420335363643,0.0,1.0,0
full_to_no_four_labels,full__unique_profiles__sqrt_hamming__pam,no_four_labels__unique_profiles__sqrt_hamming__pam,pam,pam,129,120,-9,0.754373152541918,0.543086032429433,-0.21128712011248496,0.7042961212413935,11
full_to_no_four_labels,full__unique_profiles__sqrt_hamming__average,no_four_labels__unique_profiles__sqrt_hamming__average,average,average,136,108,-28,0.942452203083014,0.314710753742723,-0.6277414493402911,0.3483390268985706,28
full_to_no_four_labels,full__unique_profiles__sqrt_hamming__energy,no_four_labels__unique_profiles__sqrt_hamming__energy,energy,energy,125,124,-1,0.656232090438534,0.632758308161156,-0.023473782277378064,0.970986281727947,1
full_to_no_four_labels,full__unique_profiles__hamming__pam,no_four_labels__unique_profiles__hamming__pam,pam,pam,129,123,-6,0.754373152541918,0.60970930179085,-0.1446638507510679,0.7798767486049851,8
full_to_no_four_labels,full__unique_profiles__hamming__average,no_four_labels__unique_profiles__hamming__average,average,average,136,108,-28,0.942452203083014,0.314710753742723,-0.6277414493402911,0.3483390268985706,28
full_to_no_four_labels,full__unique_profiles__jaccard__pam,no_four_labels__unique_profiles__jaccard__pam,pam,pam,125,123,-2,0.656184262785802,0.60963690143988,-0.04654736134592197,0.9424492405101823,2
full_to_no_four_labels,full__unique_profiles__jaccard__average,no_four_labels__unique_profiles__jaccard__average,average,average,75,75,0,0.00399148870714579,0.00399148870714579,0.0,1.0,0
full_to_no_four_labels,full__idf_presence__jaccard__pam,no_four_labels__idf_presence__jaccard__pam,pam,pam,120,122,2,0.543002789188638,0.587003087809643,0.044000298621005074,0.9424522030830136,2
full_to_no_four_labels,full__idf_presence__jaccard__average,no_four_labels__idf_presence__jaccard__average,average,average,75,75,0,0.00399148870714579,0.00399148870714579,0.0,1.0,0
no_components_to_no_components_or_four_labels,no_components__equal_features__sqrt_hamming__pam,no_components_or_four_labels__equal_features__sqrt_hamming__pam,pam,pam,111,109,-2,0.366128962429392,0.331491360187137,-0.03463760224225504,0.9419296124069665,2
no_components_to_no_components_or_four_labels,no_components__equal_features__sqrt_hamming__average,no_components_or_four_labels__equal_features__sqrt_hamming__average,average,average,129,129,0,0.754356879442656,0.754356879442656,0.0,1.0,0
no_components_to_no_components_or_four_labels,no_components__equal_features__sqrt_hamming__energy,no_components_or_four_labels__equal_features__sqrt_hamming__energy,energy,energy,131,124,-7,0.805989846809123,0.632758308161156,-0.17323153864796703,0.8059671778714506,7
no_components_to_no_components_or_four_labels,no_components__equal_features__hamming__pam,no_components_or_four_labels__equal_features__hamming__pam,pam,pam,115,109,-6,0.440477562729972,0.331491360187137,-0.10898620254283503,0.7790322580645161,8
no_components_to_no_components_or_four_labels,no_components__equal_features__hamming__average,no_components_or_four_labels__equal_features__hamming__average,average,average,129,129,0,0.754356879442656,0.754356879442656,0.0,1.0,0
no_components_to_no_components_or_four_labels,no_components__equal_features__jaccard__pam,no_components_or_four_labels__equal_features__jaccard__pam,pam,pam,125,122,-3,0.656186540594849,0.586997615488207,-0.0691889251066421,0.9143095420112586,3
no_components_to_no_components_or_four_labels,no_components__equal_features__jaccard__average,no_components_or_four_labels__equal_features__jaccard__average,average,average,75,75,0,0.00399148870714579,0.00399148870714579,0.0,1.0,0
no_components_to_no_components_or_four_labels,no_components__equal_domains__sqrt_hamming__pam,no_components_or_four_labels__equal_domains__sqrt_hamming__pam,pam,pam,113,117,4,0.402507280234578,0.480274562291262,0.07776728205668398,0.8860692412261222,4
no_components_to_no_components_or_four_labels,no_components__equal_domains__sqrt_hamming__average,no_components_or_four_labels__equal_domains__sqrt_hamming__average,average,average,109,109,0,0.331544480220811,0.331544480220811,0.0,1.0,0
no_components_to_no_components_or_four_labels,no_components__equal_domains__sqrt_hamming__energy,no_components_or_four_labels__equal_domains__sqrt_hamming__energy,energy,energy,117,117,0,0.480274562291262,0.480274562291262,0.0,1.0,0
no_components_to_no_components_or_four_labels,no_components__equal_domains__hamming__pam,no_components_or_four_labels__equal_domains__hamming__pam,pam,pam,117,117,0,0.480274562291262,0.480274562291262,0.0,1.0,0
no_components_to_no_components_or_four_labels,no_components__equal_domains__hamming__average,no_components_or_four_labels__equal_domains__hamming__average,average,average,115,109,-6,0.440540561404208,0.331544480220811,-0.10899608118339699,0.830975422228668,6
no_components_to_no_components_or_four_labels,no_components__equal_domains__jaccard__pam,no_components_or_four_labels__equal_domains__jaccard__pam,pam,pam,123,122,-1,0.609652418061975,0.587009928007509,-0.022642490054466058,0.9710144645333467,1
no_components_to_no_components_or_four_labels,no_components__equal_domains__jaccard__average,no_components_or_four_labels__equal_domains__jaccard__average,average,average,123,123,0,0.609644659905124,0.609644659905124,0.0,1.0,0
no_components_to_no_components_or_four_labels,no_components__unique_profiles__sqrt_hamming__pam,no_components_or_four_labels__unique_profiles__sqrt_hamming__pam,pam,pam,111,109,-2,0.366128962429392,0.331491360187137,-0.03463760224225504,0.9419296124069665,2
no_components_to_no_components_or_four_labels,no_components__unique_profiles__sqrt_hamming__average,no_components_or_four_labels__unique_profiles__sqrt_hamming__average,average,average,129,129,0,0.754356879442656,0.754356879442656,0.0,1.0,0
no_components_to_no_components_or_four_labels,no_components__unique_profiles__sqrt_hamming__energy,no_components_or_four_labels__unique_profiles__sqrt_hamming__energy,energy,energy,131,124,-7,0.805989846809123,0.632758308161156,-0.17323153864796703,0.8059671778714506,7
no_components_to_no_components_or_four_labels,no_components__unique_profiles__hamming__pam,no_components_or_four_labels__unique_profiles__hamming__pam,pam,pam,115,109,-6,0.440477562729972,0.331491360187137,-0.10898620254283503,0.7790322580645161,8
no_components_to_no_components_or_four_labels,no_components__unique_profiles__hamming__average,no_components_or_four_labels__unique_profiles__hamming__average,average,average,129,129,0,0.754356879442656,0.754356879442656,0.0,1.0,0
no_components_to_no_components_or_four_labels,no_components__unique_profiles__jaccard__pam,no_components_or_four_labels__unique_profiles__jaccard__pam,pam,pam,125,122,-3,0.656186540594849,0.586997615488207,-0.0691889251066421,0.9143095420112586,3
no_components_to_no_components_or_four_labels,no_components__unique_profiles__jaccard__average,no_components_or_four_labels__unique_profiles__jaccard__average,average,average,75,75,0,0.00399148870714579,0.00399148870714579,0.0,1.0,0
no_components_to_no_components_or_four_labels,no_components__idf_presence__jaccard__pam,no_components_or_four_labels__idf_presence__jaccard__pam,pam,pam,123,120,-3,0.60963690143988,0.542990678554031,-0.06664622288584898,0.9143089973062765,3
no_components_to_no_components_or_four_labels,no_components__idf_presence__jaccard__average,no_components_or_four_labels__idf_presence__jaccard__average,average,average,75,75,0,0.00399148870714579,0.00399148870714579,0.0,1.0,0
full_to_no_morph,full__equal_features__sqrt_hamming__pam,no_morph__equal_features__sqrt_hamming__pam,pam,pam,129,96,-33,0.754373152541918,0.147466626058864,-0.606906526483054,0.2657539186199942,33
full_to_no_morph,full__equal_features__sqrt_hamming__average,no_morph__equal_features__sqrt_hamming__average,average,average,136,129,-7,0.942452203083014,0.754356879442656,-0.18809532364035808,0.8059879535910096,7
full_to_no_morph,full__equal_features__sqrt_hamming__energy,no_morph__equal_features__sqrt_hamming__energy,energy,energy,125,126,1,0.656232090438534,0.680109369827184,0.02387727938864992,0.48007268320330726,21
full_to_no_morph,full__equal_features__hamming__pam,no_morph__equal_features__hamming__pam,pam,pam,129,111,-18,0.754373152541918,0.36596099998646,-0.38841215255545797,0.42103190486295977,24
full_to_no_morph,full__equal_features__hamming__average,no_morph__equal_features__hamming__average,average,average,136,128,-8,0.942452203083014,0.729178764254562,-0.21327343882845207,0.7799645422928906,8
full_to_no_morph,full__equal_features__jaccard__pam,no_morph__equal_features__jaccard__pam,pam,pam,125,121,-4,0.656184262785802,0.564790821368477,-0.09139344141732497,0.8324317607335961,6
full_to_no_morph,full__equal_features__jaccard__average,no_morph__equal_features__jaccard__average,average,average,75,74,-1,0.00399148870714579,0.00178392512401945,-0.0022075635831263402,0.6584528670014802,1
full_to_no_morph,full__equal_domains__sqrt_hamming__pam,no_morph__equal_domains__sqrt_hamming__pam,pam,pam,107,103,-4,0.2985552169859,0.237788234678377,-0.060766982307522976,0.8841266684608237,4
full_to_no_morph,full__equal_domains__sqrt_hamming__average,no_morph__equal_domains__sqrt_hamming__average,average,average,104,104,0,0.252413533231221,0.252413533231221,0.0,1.0,0
full_to_no_morph,full__equal_domains__sqrt_hamming__energy,no_morph__equal_domains__sqrt_hamming__energy,energy,energy,103,103,0,0.237788234678377,0.237788234678377,0.0,1.0,0
full_to_no_morph,full__equal_domains__hamming__pam,no_morph__equal_domains__hamming__pam,pam,pam,107,103,-4,0.2985552169859,0.237788234678377,-0.060766982307522976,0.8841266684608237,4
full_to_no_morph,full__equal_domains__hamming__average,no_morph__equal_domains__hamming__average,average,average,104,104,0,0.252413533231221,0.252413533231221,0.0,1.0,0
full_to_no_morph,full__equal_domains__jaccard__pam,no_morph__equal_domains__jaccard__pam,pam,pam,117,116,-1,0.480202261250161,0.460094873043811,-0.020107388206349996,0.9710071396760739,1
full_to_no_morph,full__equal_domains__jaccard__average,no_morph__equal_domains__jaccard__average,average,average,73,70,-3,-0.000224420335363643,-0.00412286766922999,-0.0038984473338663467,-0.022554069765415456,11
full_to_no_morph,full__unique_profiles__sqrt_hamming__pam,no_morph__equal_features__sqrt_hamming__pam,pam,pam,129,96,-33,0.754373152541918,0.147466626058864,-0.606906526483054,0.2657539186199942,33
full_to_no_morph,full__unique_profiles__sqrt_hamming__average,no_morph__equal_features__sqrt_hamming__average,average,average,136,129,-7,0.942452203083014,0.754356879442656,-0.18809532364035808,0.8059879535910096,7
full_to_no_morph,full__unique_profiles__sqrt_hamming__energy,no_morph__equal_features__sqrt_hamming__energy,energy,energy,125,126,1,0.656232090438534,0.680109369827184,0.02387727938864992,0.48007268320330726,21
full_to_no_morph,full__unique_profiles__hamming__pam,no_morph__equal_features__hamming__pam,pam,pam,129,111,-18,0.754373152541918,0.36596099998646,-0.38841215255545797,0.42103190486295977,24
full_to_no_morph,full__unique_profiles__hamming__average,no_morph__equal_features__hamming__average,average,average,136,128,-8,0.942452203083014,0.729178764254562,-0.21327343882845207,0.7799645422928906,8
full_to_no_morph,full__unique_profiles__jaccard__pam,no_morph__equal_features__jaccard__pam,pam,pam,125,121,-4,0.656184262785802,0.564790821368477,-0.09139344141732497,0.8324317607335961,6
full_to_no_morph,full__unique_profiles__jaccard__average,no_morph__equal_features__jaccard__average,average,average,75,74,-1,0.00399148870714579,0.00178392512401945,-0.0022075635831263402,0.6584528670014802,1
full_to_no_morph,full__idf_presence__jaccard__pam,no_morph__idf_presence__jaccard__pam,pam,pam,120,118,-2,0.543002789188638,0.500699810047722,-0.042302979140915964,0.8865966229356648,4
full_to_no_morph,full__idf_presence__jaccard__average,no_morph__idf_presence__jaccard__average,average,average,75,75,0,0.00399148870714579,0.00399148870714579,0.0,1.0,0
full_to_no_phon,full__equal_features__sqrt_hamming__pam,no_phon__equal_features__sqrt_hamming__pam,pam,pam,129,129,0,0.754373152541918,0.754373152541918,0.0,1.0,0
full_to_no_phon,full__equal_features__sqrt_hamming__average,no_phon__equal_features__sqrt_hamming__average,average,average,136,136,0,0.942452203083014,0.942452203083014,0.0,1.0,0
full_to_no_phon,full__equal_features__sqrt_hamming__energy,no_phon__equal_features__sqrt_hamming__energy,energy,energy,125,124,-1,0.656232090438534,0.632742495376833,-0.023489595061701007,0.9709953711464658,1
full_to_no_phon,full__equal_features__hamming__pam,no_phon__equal_features__hamming__pam,pam,pam,129,129,0,0.754373152541918,0.754373152541918,0.0,1.0,0
full_to_no_phon,full__equal_features__hamming__average,no_phon__equal_features__hamming__average,average,average,136,136,0,0.942452203083014,0.942452203083014,0.0,1.0,0
full_to_no_phon,full__equal_features__jaccard__pam,no_phon__equal_features__jaccard__pam,pam,pam,125,127,2,0.656184262785802,0.704424255453394,0.048239992667592047,0.9424492405101823,2
full_to_no_phon,full__equal_features__jaccard__average,no_phon__equal_features__jaccard__average,average,average,75,75,0,0.00399148870714579,0.00399148870714579,0.0,1.0,0
full_to_no_phon,full__equal_domains__sqrt_hamming__pam,no_phon__equal_domains__sqrt_hamming__pam,pam,pam,107,114,7,0.2985552169859,0.421167544141014,0.122612327155114,0.29699506856705804,31
full_to_no_phon,full__equal_domains__sqrt_hamming__average,no_phon__equal_domains__sqrt_hamming__average,average,average,104,129,25,0.252413533231221,0.754356879442656,0.5019433462114349,0.2991218593275682,31
full_to_no_phon,full__equal_domains__sqrt_hamming__energy,no_phon__equal_domains__sqrt_hamming__energy,energy,energy,103,130,27,0.237788234678377,0.77996430590564,0.542176071227263,0.26685969583804353,33
full_to_no_phon,full__equal_domains__hamming__pam,no_phon__equal_domains__hamming__pam,pam,pam,107,114,7,0.2985552169859,0.421167544141014,0.122612327155114,0.29699506856705804,31
full_to_no_phon,full__equal_domains__hamming__average,no_phon__equal_domains__hamming__average,average,average,104,129,25,0.252413533231221,0.754356879442656,0.5019433462114349,0.2991218593275682,31
full_to_no_phon,full__equal_domains__jaccard__pam,no_phon__equal_domains__jaccard__pam,pam,pam,117,126,9,0.480202261250161,0.680093474987822,0.199891213737661,0.5216898306163107,19
full_to_no_phon,full__equal_domains__jaccard__average,no_phon__equal_domains__jaccard__average,average,average,73,75,2,-0.000224420335363643,0.00399148870714579,0.004215909042509433,0.48518679882365623,2
full_to_no_phon,full__unique_profiles__sqrt_hamming__pam,no_phon__unique_profiles__sqrt_hamming__pam,pam,pam,129,129,0,0.754373152541918,0.754373152541918,0.0,1.0,0
full_to_no_phon,full__unique_profiles__sqrt_hamming__average,no_phon__unique_profiles__sqrt_hamming__average,average,average,136,136,0,0.942452203083014,0.942452203083014,0.0,1.0,0
full_to_no_phon,full__unique_profiles__sqrt_hamming__energy,no_phon__unique_profiles__sqrt_hamming__energy,energy,energy,125,124,-1,0.656232090438534,0.632742495376833,-0.023489595061701007,0.9709953711464658,1
full_to_no_phon,full__unique_profiles__hamming__pam,no_phon__unique_profiles__hamming__pam,pam,pam,129,129,0,0.754373152541918,0.754373152541918,0.0,1.0,0
full_to_no_phon,full__unique_profiles__hamming__average,no_phon__unique_profiles__hamming__average,average,average,136,136,0,0.942452203083014,0.942452203083014,0.0,1.0,0
full_to_no_phon,full__unique_profiles__jaccard__pam,no_phon__unique_profiles__jaccard__pam,pam,pam,125,127,2,0.656184262785802,0.704424255453394,0.048239992667592047,0.9424492405101823,2
full_to_no_phon,full__unique_profiles__jaccard__average,no_phon__unique_profiles__jaccard__average,average,average,75,75,0,0.00399148870714579,0.00399148870714579,0.0,1.0,0
full_to_no_phon,full__idf_presence__jaccard__pam,no_phon__idf_presence__jaccard__pam,pam,pam,120,122,2,0.543002789188638,0.587003087809643,0.044000298621005074,0.9424522030830136,2
full_to_no_phon,full__idf_presence__jaccard__average,no_phon__idf_presence__jaccard__average,average,average,75,75,0,0.00399148870714579,0.00399148870714579,0.0,1.0,0
full_to_no_sem,full__equal_features__sqrt_hamming__pam,no_sem__equal_features__sqrt_hamming__pam,pam,pam,129,111,-18,0.754373152541918,0.36608698016197,-0.38828617237994795,0.4596983957621675,22
full_to_no_sem,full__equal_features__sqrt_hamming__average,no_sem__equal_features__sqrt_hamming__average,average,average,136,90,-46,0.942452203083014,0.0880205213337796,-0.8544316817492345,0.10446235231890981,46
full_to_no_sem,full__equal_features__sqrt_hamming__energy,no_sem__equal_features__sqrt_hamming__energy,energy,energy,125,124,-1,0.656232090438534,0.632758308161156,-0.023473782277378064,0.970986281727947,1
full_to_no_sem,full__equal_features__hamming__pam,no_sem__equal_features__hamming__pam,pam,pam,129,111,-18,0.754373152541918,0.36608698016197,-0.38828617237994795,0.4596983957621675,22
full_to_no_sem,full__equal_features__hamming__average,no_sem__equal_features__hamming__average,average,average,136,90,-46,0.942452203083014,0.0880205213337796,-0.8544316817492345,0.10446235231890981,46
full_to_no_sem,full__equal_features__jaccard__pam,no_sem__equal_features__jaccard__pam,pam,pam,125,119,-6,0.656184262785802,0.52166760793106,-0.13451665485474196,0.6801430444843283,12
full_to_no_sem,full__equal_features__jaccard__average,no_sem__equal_features__jaccard__average,average,average,75,74,-1,0.00399148870714579,0.00178392512401945,-0.0022075635831263402,0.6584528670014802,1
full_to_no_sem,full__equal_domains__sqrt_hamming__pam,no_sem__equal_domains__sqrt_hamming__pam,pam,pam,107,103,-4,0.2985552169859,0.237788234678377,-0.060766982307522976,0.8841266684608237,4
full_to_no_sem,full__equal_domains__sqrt_hamming__average,no_sem__equal_domains__sqrt_hamming__average,average,average,104,104,0,0.252413533231221,0.252413533231221,0.0,1.0,0
full_to_no_sem,full__equal_domains__sqrt_hamming__energy,no_sem__equal_domains__sqrt_hamming__energy,energy,energy,103,103,0,0.237788234678377,0.237788234678377,0.0,1.0,0
full_to_no_sem,full__equal_domains__hamming__pam,no_sem__equal_domains__hamming__pam,pam,pam,107,103,-4,0.2985552169859,0.237788234678377,-0.060766982307522976,0.8841266684608237,4
full_to_no_sem,full__equal_domains__hamming__average,no_sem__equal_domains__hamming__average,average,average,104,104,0,0.252413533231221,0.252413533231221,0.0,1.0,0
full_to_no_sem,full__equal_domains__jaccard__pam,no_sem__equal_domains__jaccard__pam,pam,pam,117,116,-1,0.480202261250161,0.460114543894976,-0.020087717355184997,0.97100219810898,1
full_to_no_sem,full__equal_domains__jaccard__average,no_sem__equal_domains__jaccard__average,average,average,73,105,32,-0.000224420335363643,0.267257710839959,0.2674821311753226,0.03308935524231542,42
full_to_no_sem,full__unique_profiles__sqrt_hamming__pam,no_sem__equal_features__sqrt_hamming__pam,pam,pam,129,111,-18,0.754373152541918,0.36608698016197,-0.38828617237994795,0.4596983957621675,22
full_to_no_sem,full__unique_profiles__sqrt_hamming__average,no_sem__equal_features__sqrt_hamming__average,average,average,136,90,-46,0.942452203083014,0.0880205213337796,-0.8544316817492345,0.10446235231890981,46
full_to_no_sem,full__unique_profiles__sqrt_hamming__energy,no_sem__equal_features__sqrt_hamming__energy,energy,energy,125,124,-1,0.656232090438534,0.632758308161156,-0.023473782277378064,0.970986281727947,1
full_to_no_sem,full__unique_profiles__hamming__pam,no_sem__equal_features__hamming__pam,pam,pam,129,111,-18,0.754373152541918,0.36608698016197,-0.38828617237994795,0.4596983957621675,22
full_to_no_sem,full__unique_profiles__hamming__average,no_sem__equal_features__hamming__average,average,average,136,90,-46,0.942452203083014,0.0880205213337796,-0.8544316817492345,0.10446235231890981,46
full_to_no_sem,full__unique_profiles__jaccard__pam,no_sem__equal_features__jaccard__pam,pam,pam,125,119,-6,0.656184262785802,0.52166760793106,-0.13451665485474196,0.6801430444843283,12
full_to_no_sem,full__unique_profiles__jaccard__average,no_sem__equal_features__jaccard__average,average,average,75,74,-1,0.00399148870714579,0.00178392512401945,-0.0022075635831263402,0.6584528670014802,1
full_to_no_sem,full__idf_presence__jaccard__pam,no_sem__idf_presence__jaccard__pam,pam,pam,120,117,-3,0.543002789188638,0.480160937337068,-0.06284185185156999,0.7543638507505198,9
full_to_no_sem,full__idf_presence__jaccard__average,no_sem__idf_presence__jaccard__average,average,average,75,121,46,0.00399148870714579,0.564790821368477,0.5607993326613312,0.0049527033185417305,62
full_to_no_synt,full__equal_features__sqrt_hamming__pam,no_synt__equal_features__sqrt_hamming__pam,pam,pam,129,129,0,0.754373152541918,0.754391050461008,1.7897919090015257e-05,0.832387223024304,6
full_to_no_synt,full__equal_features__sqrt_hamming__average,no_synt__equal_features__sqrt_hamming__average,average,average,136,133,-3,0.942452203083014,0.859309342325905,-0.08314286075710908,0.9143126489988186,3
full_to_no_synt,full__equal_features__sqrt_hamming__energy,no_synt__equal_features__sqrt_hamming__energy,energy,energy,125,125,0,0.656232090438534,0.656232090438534,0.0,1.0,0
full_to_no_synt,full__equal_features__hamming__pam,no_synt__equal_features__hamming__pam,pam,pam,129,123,-6,0.754373152541918,0.60970930179085,-0.1446638507510679,0.7290790752061355,10
full_to_no_synt,full__equal_features__hamming__average,no_synt__equal_features__hamming__average,average,average,136,133,-3,0.942452203083014,0.859309342325905,-0.08314286075710908,0.9143126489988186,3
full_to_no_synt,full__equal_features__jaccard__pam,no_synt__equal_features__jaccard__pam,pam,pam,125,123,-2,0.656184262785802,0.60963690143988,-0.04654736134592197,0.8324257297208251,6
full_to_no_synt,full__equal_features__jaccard__average,no_synt__equal_features__jaccard__average,average,average,75,72,-3,0.00399148870714579,-0.00202489946437497,-0.00601638817152076,0.5493644373783868,3
full_to_no_synt,full__equal_domains__sqrt_hamming__pam,no_synt__equal_domains__sqrt_hamming__pam,pam,pam,107,103,-4,0.2985552169859,0.237788234678377,-0.060766982307522976,0.8841266684608237,4
full_to_no_synt,full__equal_domains__sqrt_hamming__average,no_synt__equal_domains__sqrt_hamming__average,average,average,104,78,-26,0.252413533231221,0.0120222314449279,-0.24039130178629312,0.13348620898830962,36
